date,ES,NQ,YM,RTY
2013-02-19,1.0520874508381033,1.0221132918160358,1.0516499295276172,
2013-02-20,1.039345311498984,1.006500095697002,1.0438410195839594,
2013-02-21,1.0353757096782472,0.9989428200036449,1.0421859203096642,
2013-02-22,1.0400117203185975,1.0033426415635802,1.0465268024193919,
2013-02-25,1.0150746680659262,0.9835925188114669,1.0261762206784921,
2013-02-26,1.0167741066530112,0.9854087731163537,1.029736499579292,
2013-02-27,1.0307211586345346,0.9952129322592893,1.0435405348168956,
2013-02-28,1.0285100406374639,0.9938513676857861,1.0422033290344008,
2013-03-01,1.035506707580576,1.001509000678412,1.0485346099783632,
2013-03-04,1.042862859641697,1.0089153942742262,1.0539124766202241,
2013-03-05,1.0471166647471044,1.0176387913606284,1.0585975236162075,
2013-03-06,1.044912565549936,1.0121120849616791,1.0576347582736154,
2013-03-07,1.0455898707293558,1.013922337304662,1.0589662330007747,
2013-03-08,1.0454206814298852,1.0115734127060767,1.058153575782761,
2013-03-11,1.049653153824338,1.0156435846992609,1.0618479880995781,
2013-03-12,1.0479593452817781,1.014645810346158,1.0626608153695223,
2013-03-13,1.048467159534055,1.0121085161879289,1.0626608153695223,
2013-03-14,1.0511685241963005,1.0117473068673764,1.0665684697936246,
2013-03-15,1.0511685241963005,1.0078663849944685,1.0663468988906828,
2013-03-18,1.055436708881197,1.014605529522307,1.0689488329021979,
2013-03-19,1.0508374850045359,1.0100650948605228,1.067687317445111,
2013-03-20,1.0516842517128393,1.0092537975955744,1.067096005673594,
2013-03-21,1.0486186134082511,1.0068893536653631,1.0656111437718705,
2013-03-22,1.0532021818981367,1.0124142480229765,1.0692391972769304,
2013-03-25,1.046264314054656,1.0047437594694555,1.0626617651123156,
2013-03-26,1.0501406154759279,1.0061812896627411,1.0667868905002464,
2013-03-27,1.0560745711655721,1.0145925130280118,1.071085462102929,
2013-03-28,1.059636660146375,1.0173967541036064,1.0737526182650448,
2013-04-01,1.05624365130825,1.0098001916729662,1.0742713751376969,
2013-04-02,1.0575960759578125,1.0128607378056889,1.077226323219495,
2013-04-03,1.0464457019940399,1.0031467728218495,1.0696178536801952,
2013-04-04,1.049314525882751,1.0036866795887072,1.072569745093691,
2013-04-05,1.05768717069113,1.011552275947795,1.0809993167445178,
2013-04-08,1.0641770968151834,1.0168569804690402,1.085102488754245,
2013-04-09,1.0657109843666466,1.020778843430756,1.0883809691157906,
2013-04-10,1.0759091756046049,1.037323660378338,1.0943227240993627,
2013-04-11,1.0793074989640634,1.0394192637326376,1.0987778308605218,
2013-04-12,1.0799894180915086,1.0408800198345016,1.1019795281382208,
2013-04-15,1.0601133634352156,1.0236496382435105,1.0859145973984783,
2013-04-16,1.0677657698122742,1.0311168805116333,1.088433605129361,
2013-04-17,1.0590304386829148,1.020269791994171,1.0832949175649458,
2013-04-18,1.0504857360955102,1.0025841381541427,1.0768250433404556,
2013-04-19,1.0567954718480321,1.0140124636392116,1.0796584010226973,
2013-04-22,1.0593468853483896,1.0208429769114353,1.0792119229465973,
2013-04-23,1.065439949395768,1.0247372501555085,1.0840952348151343,
2013-04-24,1.065609174292432,1.0271887746774118,1.0801785989974655,
2013-04-25,1.0671278572011624,1.0296329534838178,1.080768860526972,
2013-04-26,1.0666209081003544,1.028725548043187,1.0832076852259183,
2013-04-29,1.0710026656624667,1.0350578368545678,1.0880740460743907,
